Bib ID,Tipo,Autor,Año,Título,Revista o editorial,Volumen,Número,Páginas,Ciudad,DOI,URL,ISBN,ISSN,Cobertura geográfica,Temas,Idioma,Estado de verificación,Notas,Cita sugerida
BIB-L-0193,Libro,"Alvarado, Lisandro",1956,Datos etnográficos de Venezuela. Obras Completas IV,Editorial Ragón,,,,Caracas,,,,,,,,No verificado externamente,,"Alvarado, Lisandro. (1956). Datos etnográficos de Venezuela. Obras Completas IV. Editorial Ragón."
BIB-L-0194,Libro,"Bernal Villa, Segundo",1956,Religious life of the Paez indians of Colombia,Columbia University,,,,Nueva York,,,,,,,,No verificado externamente,,"Bernal Villa, Segundo. (1956). Religious life of the Paez indians of Colombia. Columbia University."
BIB-L-0195,Libro,"Cardona, Fausto",1956,El lenguaje de los tambores africanos,Editorial Minerva,,,,Bogotá,,,,,,,,No verificado externamente,,"Cardona, Fausto. (1956). El lenguaje de los tambores africanos. Editorial Minerva."
BIB-L-0196,Libro,"Cuervo Márquez, Carlos",1956,Estudios arqueológicos y etnográficos,Biblioteca de la Presidencia de la República,,,,Bogotá,,,,,,,,No verificado externamente,,"Cuervo Márquez, Carlos. (1956). Estudios arqueológicos y etnográficos. Biblioteca de la Presidencia de la República."
BIB-L-0197,Libro,"Belinder, Gustaf",1957,Indians on horsaback,Dobson books,,,,Londres,,,,,,,,No verificado externamente,,"Belinder, Gustaf. (1957). Indians on horsaback. Dobson books."
BIB-L-0198,Libro,"Fernández, Carmelo; Price, Enrique; Paz, Manuel María; Londoño, Julio",1957,Álbum de la Comisión Coreográfica,Hojas de Cultura Popular Colombiana,,,,Bogotá,,,,,,,,No verificado externamente,,"Fernández, Carmelo; Price, Enrique; Paz, Manuel María; Londoño, Julio. (1957). Álbum de la Comisión Coreográfica. Hojas de Cultura Popular Colombiana."
BIB-L-0199,Libro,"Flórez, Luis",1957,Habla y cultura popular en Antioquia: Materiales para un estudio,Instituto Caro y Cuervo,,,,Bogotá,,,,,,,,No verificado externamente,,"Flórez, Luis. (1957). Habla y cultura popular en Antioquia: Materiales para un estudio. Instituto Caro y Cuervo."
BIB-L-0200,Libro,"Flórez, Luis",1957,Hab!a y cultura popular en Antioquia: Materiales para un estudio,Instituto Caro y Cuervo,,,,Bogotá,,,,,,,,No verificado externamente,,"Flórez, Luis. (1957). Hab!a y cultura popular en Antioquia: Materiales para un estudio. Instituto Caro y Cuervo."
BIB-L-0201,Libro,"Meza, Heriberto. Hidalgo",1957,El Encanco: apuntes históricos y geográficos Cuentos y leyendas.,"Editorial Cervantes,",,,,Pasto,,,,,,,,No verificado externamente,,"Meza, Heriberto. Hidalgo. (1957). El Encanco: apuntes históricos y geográficos Cuentos y leyendas.. Editorial Cervantes,."
BIB-L-0202,Libro,"Pérez de Barradas, José",1957,Plantas mágicas americanas,Consejo superior de Investigaciones científicas. Instituto Bernardino de Sahagún,,,,Madrid,,,,,,,,No verificado externamente,,"Pérez de Barradas, José. (1957). Plantas mágicas americanas. Consejo superior de Investigaciones científicas. Instituto Bernardino de Sahagún."
BIB-L-0203,Libro,"Pérez de Barradas, José",1957,Plantas mágicas americanas,Friedlander,,,,Berlín,,,,,,,,No verificado externamente,,"Pérez de Barradas, José. (1957). Plantas mágicas americanas. Friedlander."
BIB-L-0204,Libro,"Salazar, María Cristina",1957,"A soci-religious survey of the parrish of Cristo Rey in Manizales, Colombia. Studies in sociology",Catholic University of America,,,,Washington,,,,,,,,No verificado externamente,,"Salazar, María Cristina. (1957). A soci-religious survey of the parrish of Cristo Rey in Manizales, Colombia. Studies in sociology. Catholic University of America."
BIB-L-0205,Libro,"án hez Camacho, Jorge",1958,Diccionario de voces y dichos del habla santandereana,Biblioteca Santander. Imprenta del Departamento,,,,Bucaramanga,,,,,,,,No verificado externamente,,"án hez Camacho, Jorge. (1958). Diccionario de voces y dichos del habla santandereana. Biblioteca Santander. Imprenta del Departamento."
BIB-L-0206,Libro,"Carrasquilla, Tomás",1958,Obras Completas (Tomo I),Bedout,,,,Medellín,,,,,,,,No verificado externamente,,"Carrasquilla, Tomás. (1958). Obras Completas (Tomo I). Bedout."
BIB-L-0207,Libro,"Castilla, Cesáreo. Rocha",1958,Cantares del Tolima grande,"[Italgraf],",,,,Bogotá,,,,,,,,No verificado externamente,,"Castilla, Cesáreo. Rocha. (1958). Cantares del Tolima grande. [Italgraf],."
BIB-L-0208,Libro,"Jaramillo, Agustín",1958,Cosecha de cuentos (del folclor de Antioquia),Bedout,,,,Medellín,,,,,,,,No verificado externamente,,"Jaramillo, Agustín. (1958). Cosecha de cuentos (del folclor de Antioquia). Bedout."
BIB-L-0209,Libro,"Londoño, Agustín Jaramillo",1958,Cosecha de cuentos : (del folklore de Antioquia),"Editorial Bedout,",,,,Medellín,,,,,,,,No verificado externamente,,"Londoño, Agustín Jaramillo. (1958). Cosecha de cuentos : (del folklore de Antioquia). Editorial Bedout,."
BIB-L-0210,Libro,"Tascón, Jorge",1958,Medicina rural,Editorial Minerva,,,,Bogotá,,,,,,,,No verificado externamente,,"Tascón, Jorge. (1958). Medicina rural. Editorial Minerva."
BIB-L-0211,Libro,Varios,1958,El folclor colombiano. Cantares del Tolima Grande,Talleres Italgraf,,,,Ibagué,,,,,,,,No verificado externamente,,Varios. (1958). El folclor colombiano. Cantares del Tolima Grande. Talleres Italgraf.
BIB-L-0212,Libro,Biblioteca Luis-Ángel Arango,1959,Boletín cultural y bibliográfico.,,,,,,,,,,,,,No verificado externamente,,Biblioteca Luis-Ángel Arango. (1959). Boletín cultural y bibliográfico..
BIB-L-0213,Libro,"Bowen, J. Donald",1959,"Habla y cultura popular en Antioquia, materiales para un estudio","Instituto Caro y Cuervo,",,,,Bogotá,,,,,,,,No verificado externamente,,"Bowen, J. Donald. (1959). Habla y cultura popular en Antioquia, materiales para un estudio. Instituto Caro y Cuervo,."
BIB-L-0214,Libro,"Cadavid Uribe, Gonzalo",1959,Presencia del pueblo en Don Tomás Carrasquilla,Imprenta Departamental,,,,Medellín,,,,,,,,No verificado externamente,,"Cadavid Uribe, Gonzalo. (1959). Presencia del pueblo en Don Tomás Carrasquilla. Imprenta Departamental."
BIB-L-0215,Libro,"Chavez, Milciades",1959,Nariño,Seguridad Social Campesina del Ministerio de Trabajo,,,,Bogotá,,,,,,,,No verificado externamente,,"Chavez, Milciades. (1959). Nariño. Seguridad Social Campesina del Ministerio de Trabajo."
BIB-L-0216,Libro,"Del, Publicacion",1959,Revista hispano-americana,Fundación Hispanoamericana Santiago de Cali,,,,,,,,,,,,No verificado externamente,,"Del, Publicacion. (1959). Revista hispano-americana. Fundación Hispanoamericana Santiago de Cali."
BIB-L-0217,Libro,"Escobar Uribe, Arturo",1959,Rezadores y ayudados. Contribución al estudio del folclor nacional,Imprenta Nacional,,,,Bogotá,,,,,,,,No verificado externamente,,"Escobar Uribe, Arturo. (1959). Rezadores y ayudados. Contribución al estudio del folclor nacional. Imprenta Nacional."
BIB-L-0218,Libro,"Escobar Uribe, Arturo",1959,Rezadores y ayudados,Imprenta Nacional,,,,Bogotá,,,,,,,,No verificado externamente,,"Escobar Uribe, Arturo. (1959). Rezadores y ayudados. Imprenta Nacional."
BIB-L-0219,Libro,"Exbrayat, Jaime",1959,Cantares de Vaquería. Del folclor cordobés y bolivarense,Editorial Bedout,,,,Medellín,,,,,,,,No verificado externamente,,"Exbrayat, Jaime. (1959). Cantares de Vaquería. Del folclor cordobés y bolivarense. Editorial Bedout."
BIB-L-0220,Libro,"Exbrayat, Jaime",1959,Cantares de Vaquería del folclor cordobés y bolivarense,Bedout,,,,Medellín,,,,,,,,No verificado externamente,,"Exbrayat, Jaime. (1959). Cantares de Vaquería del folclor cordobés y bolivarense. Bedout."
BIB-L-0221,Libro,"Florez, Luis",1959,"Habla y cultura popular en Antioquia, materiales para un estudio","Instituto Caro y Cuervo,",,,,Bogotá,,,,,,,,No verificado externamente,,"Florez, Luis. (1959). Habla y cultura popular en Antioquia, materiales para un estudio. Instituto Caro y Cuervo,."
BIB-L-0222,Libro,"Jaramillo, Euclides",1959,Un campesino sin regreso (Contiene vocablos regionales de Caldas),Bedout,,,,Medellín,,,,,,,,No verificado externamente,,"Jaramillo, Euclides. (1959). Un campesino sin regreso (Contiene vocablos regionales de Caldas). Bedout."
BIB-L-0223,Libro,Joselito,1959,Joselito cancionero : Sus canciones en discos R.C.A.,Ediciones Bistagne,,,,Barcelona,,,,,,,,No verificado externamente,,Joselito. (1959). Joselito cancionero : Sus canciones en discos R.C.A.. Ediciones Bistagne.
BIB-L-0224,Libro,"Pardo Tovar, Andrés",1959,Hacia una labor tecnificada en el campo del folclor,Centro de Estudios Folclóricos y musicales de la Universidad Nacional,,,,Bogotá,,,,,,,,No verificado externamente,,"Pardo Tovar, Andrés. (1959). Hacia una labor tecnificada en el campo del folclor. Centro de Estudios Folclóricos y musicales de la Universidad Nacional."
BIB-L-0225,Libro,"Pardo Tovar, Andrés",1959,El folclor en la obra de Tomás Carrasquilla,Imprenta Departamental,,,,Tunja,,,,,,,,No verificado externamente,,"Pardo Tovar, Andrés. (1959). El folclor en la obra de Tomás Carrasquilla. Imprenta Departamental."
BIB-L-0226,Libro,"Pérez Arbeláez, Enrique",1959,Curare and Curaré like agents. Curares in Northwestern Colombia,Bovet Elsevier Co.,,,,Ámsterdam,,,,,,,,No verificado externamente,,"Pérez Arbeláez, Enrique. (1959). Curare and Curaré like agents. Curares in Northwestern Colombia. Bovet Elsevier Co.."
BIB-L-0227,Libro,"Ramírez, Alberto. Roldán",1959,Colombia mía; romances y sonetos.,"Impr. Salesiana,",,,,Bogotá,,,,,,,,No verificado externamente,,"Ramírez, Alberto. Roldán. (1959). Colombia mía; romances y sonetos.. Impr. Salesiana,."
BIB-L-0228,Libro,"Robledo, Emilio",1959,Apuntaciones sobre la medicina en Colombia,Universidad del Valle,,,,Cali,,,,,,,,No verificado externamente,,"Robledo, Emilio. (1959). Apuntaciones sobre la medicina en Colombia. Universidad del Valle."
BIB-L-0229,Libro,"Rocha Castilla, Cesáreo",1959,Prehistoria y folclor del Tolima,Imprenta Departamental,,,,lbagué,,,,,,,,No verificado externamente,,"Rocha Castilla, Cesáreo. (1959). Prehistoria y folclor del Tolima. Imprenta Departamental."
BIB-L-0230,Libro,"Rocha Castilla, Cesáreo",1959,Prehistoria y folclor del Tolima,Imprenta Departamental,,,,Ibagué,,,,,,,,No verificado externamente,,"Rocha Castilla, Cesáreo. (1959). Prehistoria y folclor del Tolima. Imprenta Departamental."
BIB-L-0231,Libro,"Santa Teresa, Severino de",1959,Los indios Catíos - Los Indios Cunas. Ensayo etnográfico de dos razas de indios de la América Española,Imprenta Departamental,,,,Medellín,,,,,,,,No verificado externamente,,"Santa Teresa, Severino de. (1959). Los indios Catíos - Los Indios Cunas. Ensayo etnográfico de dos razas de indios de la América Española. Imprenta Departamental."
BIB-L-0232,Libro,"Schaden, Egon",1959,A mitología heroica de tribus indígenas do Brasil,Imprenta Nacional,,,,Sao Paulo,,,,,,,,No verificado externamente,,"Schaden, Egon. (1959). A mitología heroica de tribus indígenas do Brasil. Imprenta Nacional."
BIB-L-0233,Libro,"Stoddart, D. R.",1959,Observations on the Tunebo indians of Eastern Colombia. Re port of the Cambridge Colombia expedition in 1959,University of Cambridge,,,,Cambridge,,,,,,,,No verificado externamente,,"Stoddart, D. R.. (1959). Observations on the Tunebo indians of Eastern Colombia. Re port of the Cambridge Colombia expedition in 1959. University of Cambridge."
BIB-L-0234,Libro,"Uribe, Arturo Escobar",1959,Rezadores y ayudados : contribución al estudio del folclore nacional,"Imprenta Nacional,",,,,"Bogota, D.E",,,,,,,,No verificado externamente,,"Uribe, Arturo Escobar. (1959). Rezadores y ayudados : contribución al estudio del folclore nacional. Imprenta Nacional,."
BIB-L-0235,Libro,Biblioteca Luis-Ángel Arango,1960,Boletín cultural y bibliográfico.,,,,,,,,,,,,,No verificado externamente,,Biblioteca Luis-Ángel Arango. (1960). Boletín cultural y bibliográfico..
BIB-L-0236,Libro,"Escobar, Hernán",1960,Algo de lo nuestro,Bedout,,,,Medellín,,,,,,,,No verificado externamente,,"Escobar, Hernán. (1960). Algo de lo nuestro. Bedout."
BIB-L-0237,Libro,"Escobar, Hernán (Ed.)",1960,Algo de lo nuestro,Bedout,,,,Medellín,,,,,,,,No verificado externamente,,"Escobar, Hernán (Ed.). (1960). Algo de lo nuestro. Bedout."
BIB-L-0238,Libro,"Lommel, Andreas (Ed.)",1960,Indianer von Amazonas: Kunst und Handwerk des Tropischen Sudamerika,Ausstellung des Staatlichen Museum für Völkerkunde,,,,Múnich,,,,,,,,No verificado externamente,,"Lommel, Andreas (Ed.). (1960). Indianer von Amazonas: Kunst und Handwerk des Tropischen Sudamerika. Ausstellung des Staatlichen Museum für Völkerkunde."
BIB-L-0239,Libro,"Lommel, Andreas (Ed.)",1960,Indianer von Amazonas. Kunst und Handwerk des tropischen Sudamerika,Staatlichen Museums fur Volkerkunde,,,,Múnich,,,,,,,,No verificado externamente,,"Lommel, Andreas (Ed.). (1960). Indianer von Amazonas. Kunst und Handwerk des tropischen Sudamerika. Staatlichen Museums fur Volkerkunde."
BIB-L-0240,Libro,"Nieto, Ricardo. Quintero",1960,"El tesoro de Tumbichukue, cuento eminentemente nacional; hermosa leyenda americana de una tribu guerrera y poderosa, cuyos protagonistas por sus hechos gloriosos conocidos, merecieron colocar su nombre en la historia.",[Tip. El Carmen],,,,[Popayán],,,,,,,,No verificado externamente,,"Nieto, Ricardo. Quintero. (1960). El tesoro de Tumbichukue, cuento eminentemente nacional; hermosa leyenda americana de una tribu guerrera y poderosa, cuyos protagonistas por sus hechos gloriosos conocidos, merecieron colocar su nombre en la historia.. [Tip. El Carmen]."
BIB-L-0241,Libro,"Nieto, Ricardo. Quintero",1960,El tesoro de Tumbichukue : (leyendas de América),"Tipografía El Carmen,",,,,Popayán,,,,,,,,No verificado externamente,,"Nieto, Ricardo. Quintero. (1960). El tesoro de Tumbichukue : (leyendas de América). Tipografía El Carmen,."
BIB-L-0242,Libro,"Pardo Tovar, Andrés",1960,Lo cantares tradicionales del Baudó. Centro de Estudios Folclóricos y musicales del Conservatorio Nacional de Música,Universidad Nacional,,,,Bogotá,,,,,,,,No verificado externamente,,"Pardo Tovar, Andrés. (1960). Lo cantares tradicionales del Baudó. Centro de Estudios Folclóricos y musicales del Conservatorio Nacional de Música. Universidad Nacional."
BIB-L-0243,Libro,"Quintero Nieto, Ricardo",1960,El tesoro de Tumbichucue. (Leyendas de América),Tipografía El Carmen,,,,Popayán,,,,,,,,No verificado externamente,,"Quintero Nieto, Ricardo. (1960). El tesoro de Tumbichucue. (Leyendas de América). Tipografía El Carmen."
BIB-L-0244,Libro,"Romero, Guillermo Córdoba",1960,Romances del mito chibcha,"Imprenta Penitenciaria Central,",,,,Bogotá,,,,,,,,No verificado externamente,,"Romero, Guillermo Córdoba. (1960). Romances del mito chibcha. Imprenta Penitenciaria Central,."
BIB-L-0245,Libro,Biblioteca Luis-Ángel Arango,1961,Boletín cultural y bibliográfico.,,,,,,,,,,,,,No verificado externamente,,Biblioteca Luis-Ángel Arango. (1961). Boletín cultural y bibliográfico..
BIB-L-0246,Libro,"Bleznick, Donald W.",1961,Cuentos y cantares,Fundacíon Cámara de Comercio de Medellín para la Investigacíon y la Cultura,,,,Medellín,,,,,,,,No verificado externamente,,"Bleznick, Donald W.. (1961). Cuentos y cantares. Fundacíon Cámara de Comercio de Medellín para la Investigacíon y la Cultura."
BIB-L-0247,Libro,"Bruzví, Alvo da Silva, Alcinio",1961,"Discota ethno - lingüística musical das tribos dos ríos Uaupés, Icana e Cauaburi",Missao Salesiana do Río Negro,,,,Sao Paulo,,,,,,,,No verificado externamente,,"Bruzví, Alvo da Silva, Alcinio. (1961). Discota ethno - lingüística musical das tribos dos ríos Uaupés, Icana e Cauaburi. Missao Salesiana do Río Negro."
BIB-L-0248,Libro,"De Carvalho Neto, Paulo",1961,Folclor y educación,Casa de la Cultura Ecuatoriana,,,,Quito,,,,,,,,No verificado externamente,,"De Carvalho Neto, Paulo. (1961). Folclor y educación. Casa de la Cultura Ecuatoriana."
BIB-L-0249,Libro,"Escudero, Alfonso M.",1961,Cuentos y cantares,Fundacíon Cámara de Comercio de Medellín para la Investigacíon y la Cultura,,,,Medellín,,,,,,,,No verificado externamente,,"Escudero, Alfonso M.. (1961). Cuentos y cantares. Fundacíon Cámara de Comercio de Medellín para la Investigacíon y la Cultura."
BIB-L-0250,Libro,"Fals Borda, Orlando",1961,Campesinos de los Andes: Estudio sociológico de Saucío,Universidad Nacional de Colombia,,,,Bogotá,,,,,,,,No verificado externamente,,"Fals Borda, Orlando. (1961). Campesinos de los Andes: Estudio sociológico de Saucío. Universidad Nacional de Colombia."
BIB-L-0251,Libro,"Gutiérrez de Pineda, Virginia",1961,La medicina popular en Colombia. Razones de su arraigo,Monografías sociológicas No. 8. Universidad Nacional de Colombia,,,,Bogotá,,,,,,,,No verificado externamente,,"Gutiérrez de Pineda, Virginia. (1961). La medicina popular en Colombia. Razones de su arraigo. Monografías sociológicas No. 8. Universidad Nacional de Colombia."
BIB-L-0252,Libro,"Hernández de Alba, Guillermo",1961,Poesía popular y poesía culta ante la Empancipación colombiana (1781-1829),Instituto Caro y Cuervo,,,,Bogotá,,,,,,,,No verificado externamente,,"Hernández de Alba, Guillermo. (1961). Poesía popular y poesía culta ante la Empancipación colombiana (1781-1829). Instituto Caro y Cuervo."
BIB-L-0253,Libro,"M., Rogerio. Velásquez",1961,Ritos de la muerte en el Alto y Bajo Chocó,"Impr. Nacional,",,,,Bogotá,,,,,,,,No verificado externamente,,"M., Rogerio. Velásquez. (1961). Ritos de la muerte en el Alto y Bajo Chocó. Impr. Nacional,."
BIB-L-0254,Libro,"Malaret, Augusto",1961,Lexicón de fauna y flora,Instituto Caro y Cuervo,,,,Bogotá,,,,,,,,No verificado externamente,,"Malaret, Augusto. (1961). Lexicón de fauna y flora. Instituto Caro y Cuervo."
BIB-L-0255,Libro,"Olarte, Guillermo. Plazas",1961,Sugamuxi : crónicas y leyendas,Sección Imp. y Publicaciones de las Fuerzas Militares,,,,,,,,,,,,No verificado externamente,,"Olarte, Guillermo. Plazas. (1961). Sugamuxi : crónicas y leyendas. Sección Imp. y Publicaciones de las Fuerzas Militares."
BIB-L-0256,Libro,"Pardo Tovar, Andrés y Pinzón, Jesús",1961,Rítmica y melodía del folclor chocoano. Centro de Estudios Folclóricos y musicales del Conservatorio Nacional de Música,Universidad Nacional,,,,Bogotá,,,,,,,,No verificado externamente,,"Pardo Tovar, Andrés y Pinzón, Jesús. (1961). Rítmica y melodía del folclor chocoano. Centro de Estudios Folclóricos y musicales del Conservatorio Nacional de Música. Universidad Nacional."
BIB-L-0257,Libro,"Reichel-Dolmatoff, Gerardo y Alicia",1961,The people of Aritama,Routledge and Kegan Paul,,,,Londres,,,,,,,,No verificado externamente,,"Reichel-Dolmatoff, Gerardo y Alicia. (1961). The people of Aritama. Routledge and Kegan Paul."
BIB-L-0258,Libro,"Santa, Eduardo",1961,Arrieros y fundadores,Editorial Cosmos,,,,Bogotá,,,,,,,,No verificado externamente,,"Santa, Eduardo. (1961). Arrieros y fundadores. Editorial Cosmos."
BIB-L-0259,Libro,"Solarte, Libardo",1961,Tierra Vallecaucana. Motivos típicos del Valle geográfico,Imprenta Departamental,,,,Cali,,,,,,,,No verificado externamente,,"Solarte, Libardo. (1961). Tierra Vallecaucana. Motivos típicos del Valle geográfico. Imprenta Departamental."
BIB-L-0260,Libro,"Trueba, Antonio de",1961,Cuentos y cantares,Fundacíon Cámara de Comercio de Medellín para la Investigacíon y la Cultura,,,,Medellín,,,,,,,,No verificado externamente,,"Trueba, Antonio de. (1961). Cuentos y cantares. Fundacíon Cámara de Comercio de Medellín para la Investigacíon y la Cultura."
BIB-L-0261,Libro,"Villegas, Nestor",1961,Estampas interiores,Editorial Antares,,,,Bogotá,,,,,,,,No verificado externamente,,"Villegas, Nestor. (1961). Estampas interiores. Editorial Antares."
BIB-L-0262,Libro,"Alcacer, Antonio de",1962,El indio Motilón y su historia,Editorial lqueima,,,,Bogotá,,,,,,,,No verificado externamente,,"Alcacer, Antonio de. (1962). El indio Motilón y su historia. Editorial lqueima."
BIB-L-0263,Libro,"Arias, Eugenio",1962,Plantas medicinales,Bedout,,,,Medellín,,,,,,,,No verificado externamente,,"Arias, Eugenio. (1962). Plantas medicinales. Bedout."
BIB-L-0264,Libro,"Ariza, Alberto",1962,La Aguada,Imprenta Juan Bravo,,,,Madrid,,,,,,,,No verificado externamente,,"Ariza, Alberto. (1962). La Aguada. Imprenta Juan Bravo."
BIB-L-0265,Libro,"Bruzzi Alves da Silva, Alcinio",1962,A civilização indígena du Uaupés,Missao Salesiana de Río Negro,,,,Sao Paulo,,,,,,,,No verificado externamente,,"Bruzzi Alves da Silva, Alcinio. (1962). A civilização indígena du Uaupés. Missao Salesiana de Río Negro."
BIB-L-0266,Libro,"Deutschmann, Paul y Fals Borda, Orlando",1962,La comunicación de las ideas entre los campesinos colombianos. Facultad de Sociología,Universidad Nacional,,,,Bogotá,,,,,,,,No verificado externamente,,"Deutschmann, Paul y Fals Borda, Orlando. (1962). La comunicación de las ideas entre los campesinos colombianos. Facultad de Sociología. Universidad Nacional."
BIB-L-0267,Libro,"Flórez, Luis",1962,Léxico de la casa popular urbana en Bolívar,Instituto Caro y Cuervo,,,,Bogotá,,,,,,,,No verificado externamente,,"Flórez, Luis. (1962). Léxico de la casa popular urbana en Bolívar. Instituto Caro y Cuervo."
BIB-L-0268,Libro,"Flórez, Luis",1962,"Léxico de la casa urbana en Bolívar, Colombia",Instituto Caro y Cuervo,,,,Bogotá,,,,,,,,No verificado externamente,,"Flórez, Luis. (1962). Léxico de la casa urbana en Bolívar, Colombia. Instituto Caro y Cuervo."
BIB-L-0269,Libro,"Jaramillo Londoño, Agustín",1962,El Testamento del Paisa,Bedout,,,,Medellín,,,,,,,,No verificado externamente,,"Jaramillo Londoño, Agustín. (1962). El Testamento del Paisa. Bedout."
BIB-L-0270,Libro,Piñeros Corpas. Joaquín,1962,Introducción al cancionero noble de Colombia,Antares,,,,Bogotá,,,,,,,,No verificado externamente,,Piñeros Corpas. Joaquín. (1962). Introducción al cancionero noble de Colombia. Antares.
BIB-L-0271,Libro,"Rodríguez de Montes, Ma. Luisa",1962,"Cunas, andadores y canciones de cuna en Bolívar, Antioquia y Nanno (Colombia)",Instituto Caro y Cuervo,,,,Bogotá,,,,,,,,No verificado externamente,,"Rodríguez de Montes, Ma. Luisa. (1962). Cunas, andadores y canciones de cuna en Bolívar, Antioquia y Nanno (Colombia). Instituto Caro y Cuervo."
BIB-L-0272,Libro,"Rodríguez de Montes, María Luisa",1962,"Cunas, andadores y canciones de Cuna en Bolívar, Antioquia y Nariño (Colombia)",Instituto Caro y Cuervo,,,,Bogotá,,,,,,,,No verificado externamente,,"Rodríguez de Montes, María Luisa. (1962). Cunas, andadores y canciones de Cuna en Bolívar, Antioquia y Nariño (Colombia). Instituto Caro y Cuervo."
BIB-L-0273,Libro,"Whiton, Luis y Parra Rojas, Joaquín",1962,"The Sanhá indians of the Sierra Nevada de Santa Marta, Colombia",The Central Florida Museum,,,,Orlando,,,,,,,,No verificado externamente,,"Whiton, Luis y Parra Rojas, Joaquín. (1962). The Sanhá indians of the Sierra Nevada de Santa Marta, Colombia. The Central Florida Museum."
BIB-L-0274,Libro,"Abadía Morales, Guillermo",1963,Anales de la Junta Nacional de Folclor,Universidad Nacional,,,,Bogotá,,,,,,,,No verificado externamente,,"Abadía Morales, Guillermo. (1963). Anales de la Junta Nacional de Folclor. Universidad Nacional."
BIB-L-0275,Libro,"Abadía, Guillermo (ed.)",1963,Anales de la Junta Nacional de Folclor,Universidad Nacional,,,,Bogotá,,,,,,,,No verificado externamente,,"Abadía, Guillermo (ed.). (1963). Anales de la Junta Nacional de Folclor. Universidad Nacional."
BIB-L-0276,Libro,"Beutler, Gisela",1963,Adivinanzas de tradición oral en el Norte de Santander (Colombia),Instituto Caro y Cuervo,,,,Bogotá,,,,,,,,No verificado externamente,,"Beutler, Gisela. (1963). Adivinanzas de tradición oral en el Norte de Santander (Colombia). Instituto Caro y Cuervo."
BIB-L-0277,Libro,"Fock, Niels",1963,Waiwai: Religion and Society of an Amazonian tribe,Ethno- Graphie Raeke.,,,,Copenhagen,,,,,,,,No verificado externamente,,"Fock, Niels. (1963). Waiwai: Religion and Society of an Amazonian tribe. Ethno- Graphie Raeke.."
BIB-L-0278,Libro,"Fraser, Norman",1963,Ritmica y melodica del folclor Chocoano,"Universidad nacional de Colombia, Conservatorio nacional de musica, Centro de estudios folclóricos y musicales,",,,,Bogotá,,,,,,,,No verificado externamente,,"Fraser, Norman. (1963). Ritmica y melodica del folclor Chocoano. Universidad nacional de Colombia, Conservatorio nacional de musica, Centro de estudios folclóricos y musicales,."
BIB-L-0279,Libro,"Fraser, Norman",1963,Ritmica y melodica del folclor Chocoano,"Universidad Nacional de Colombia,",,,,Bogotá,,,,,,,,No verificado externamente,,"Fraser, Norman. (1963). Ritmica y melodica del folclor Chocoano. Universidad Nacional de Colombia,."
BIB-L-0280,Libro,"Fraser, Norman",1963,Ritmica y melodica del folclor Chocoano,,,,,Bogotá,,,,,,,,No verificado externamente,,"Fraser, Norman. (1963). Ritmica y melodica del folclor Chocoano."
BIB-L-0281,Libro,"Fuente, Juan de la.",1963,Acuarelas folclóricas de Santander,"Imprenta del Departamento,",,,,Bucaramanga,,,,,,,,No verificado externamente,,"Fuente, Juan de la.. (1963). Acuarelas folclóricas de Santander. Imprenta del Departamento,."
BIB-L-0282,Libro,"Pardo Tovar, Andrés y Bermudez Silva, Jesús",1963,La guitarrería popular de Chiquinquirá. Centro de Estudios Folclóricos y musicales del Conservatorio Nacional de Música,Universidad Nacional,,,,Bogotá,,,,,,,,No verificado externamente,,"Pardo Tovar, Andrés y Bermudez Silva, Jesús. (1963). La guitarrería popular de Chiquinquirá. Centro de Estudios Folclóricos y musicales del Conservatorio Nacional de Música. Universidad Nacional."
BIB-L-0283,Libro,"Patiño, Víctor Manuel",1963,Plantas cultivadas y animales domesticados en América equinoccial. 3 tomos,Imprenta departamental,,,,Cali,,,,,,,,No verificado externamente,,"Patiño, Víctor Manuel. (1963). Plantas cultivadas y animales domesticados en América equinoccial. 3 tomos. Imprenta departamental."
BIB-L-0284,Libro,"Q., Padre H.",1963,Historias y leyendas del Convento de la Popa,"[publisher not identified],",,,,"Cartagena, Colombia",,,,,,,,No verificado externamente,,"Q., Padre H.. (1963). Historias y leyendas del Convento de la Popa. [publisher not identified],."
BIB-L-0285,Libro,"Sabio Labay, Ricardo",1963,Corridos y coplas (Llanos Orientales de Colombia),Editorial Salesiana,,,,Cali,,,,,,,,No verificado externamente,,"Sabio Labay, Ricardo. (1963). Corridos y coplas (Llanos Orientales de Colombia). Editorial Salesiana."
BIB-L-0286,Libro,"Sabio, Ricardo",1963,Corridos y coplas; canto a los llanos orientales de Colombia,,,,,Pp. 327. Cali,,,,,,,,No verificado externamente,,"Sabio, Ricardo. (1963). Corridos y coplas; canto a los llanos orientales de Colombia."
BIB-L-0287,Libro,"Sabio, Ricardo",1963,Corridos y coplas; canto a los llanos orientales de Colombia,"Editorial Salesiana,",,,,"Cali, Colombia",,,,,,,,No verificado externamente,,"Sabio, Ricardo. (1963). Corridos y coplas; canto a los llanos orientales de Colombia. Editorial Salesiana,."
